일자,공급업체명,교정기관,품목명,주문수량
2023-11-01,[23]경기상사(간장),경북북부제3교도소,간장,9
2023-11-01,[23]경기상사(간장),대구교도소,간장,8
2023-11-01,[23]경기상사(간장),대전교도소,간장,60
2023-11-01,[23]경기상사(간장),부산구치소,간장,30
2023-11-01,[23]경기상사(간장),서울구치소,간장,14
2023-11-01,[23]경기상사(간장),서울남부교도소,간장,3
2023-11-01,[23]경기상사(간장),울산구치소,간장,24
2023-11-01,[23]더지안(두유),거창구치소,두유(검은콩),48
2023-11-01,[23]더지안(두유),경북북부제3교도소,두유(검은콩),1075
2023-11-01,[23]더지안(두유),경북직업훈련교도소,두유(검은콩),74
2023-11-01,[23]더지안(두유),경주교도소,두유(검은콩),216
2023-11-01,[23]더지안(두유),공주교도소,두유(검은콩),600
2023-11-01,[23]더지안(두유),광주교도소,두유(검은콩),4800
2023-11-01,[23]더지안(두유),김천소년교도소,두유(검은콩),154
2023-11-01,[23]더지안(두유),대구교도소,두유(검은콩),1615
2023-11-01,[23]더지안(두유),대전교도소,두유(검은콩),1800
2023-11-01,[23]더지안(두유),부산교도소,두유(검은콩),264
2023-11-01,[23]더지안(두유),부산구치소,두유(검은콩),1074
2023-11-01,[23]더지안(두유),서울구치소,두유(검은콩),2543
2023-11-01,[23]더지안(두유),서울남부교도소,두유(고칼슘),1053
2023-11-01,[23]더지안(두유),서울남부구치소,두유(고칼슘),1344
2023-11-01,[23]더지안(두유),서울동부구치소,두유(검은콩),2159
2023-11-01,[23]더지안(두유),수원구치소,두유(검은콩),1152
2023-11-01,[23]더지안(두유),안양교도소,두유(검은콩),363
2023-11-01,[23]더지안(두유),여주교도소,두유(검은콩),720
2023-11-01,[23]더지안(두유),울산구치소,두유(검은콩),600
2023-11-01,[23]더지안(두유),원주교도소,두유(고칼슘),168
2023-11-01,[23]더지안(두유),의정부교도소,두유(검은콩),246
2023-11-01,[23]더지안(두유),인천구치소,두유(검은콩),1200
2023-11-01,[23]더지안(두유),전주교도소,두유(검은콩),1608
2023-11-01,[23]더지안(두유),진주교도소,두유(검은콩),480
2023-11-01,[23]더지안(두유),천안교도소,두유(고칼슘),600
2023-11-01,[23]더지안(두유),포항교도소,두유(검은콩),184
2023-11-01,[23]더지안(두유),홍성교도소,두유(검은콩),480
2023-11-01,[23]동원에프앤비(참치),거창구치소,참치,48
2023-11-01,[23]동원에프앤비(참치),경북북부제2교도소,참치,288
2023-11-01,[23]동원에프앤비(참치),경북북부제3교도소,참치,733
2023-11-01,[23]동원에프앤비(참치),공주교도소,참치,480
2023-11-01,[23]동원에프앤비(참치),군산교도소,참치,288
2023-11-01,[23]동원에프앤비(참치),김천소년교도소,참치,64
2023-11-01,[23]동원에프앤비(참치),대구교도소,참치,827
2023-11-01,[23]동원에프앤비(참치),대구구치소,참치,480
2023-11-01,[23]동원에프앤비(참치),대전교도소,참치,960
2023-11-01,[23]동원에프앤비(참치),부산구치소,참치,1043
2023-11-01,[23]동원에프앤비(참치),서산지소,참치,480
2023-11-01,[23]동원에프앤비(참치),서울구치소,참치,1629
2023-11-01,[23]동원에프앤비(참치),서울남부교도소,참치,720
2023-11-01,[23]동원에프앤비(참치),서울남부구치소,참치,235
2023-11-01,[23]동원에프앤비(참치),서울동부구치소,참치,720
2023-11-01,[23]동원에프앤비(참치),수원구치소,참치,720
2023-11-01,[23]동원에프앤비(참치),순천교도소,참치,720
2023-11-01,[23]동원에프앤비(참치),여주교도소,참치,720
2023-11-01,[23]동원에프앤비(참치),원주교도소,참치,240
2023-11-01,[23]동원에프앤비(참치),의정부교도소,참치,159
2023-11-01,[23]동원에프앤비(참치),인천구치소,참치,2400
2023-11-01,[23]동원에프앤비(참치),전주교도소,참치,720
2023-11-01,[23]동원에프앤비(참치),진주교도소,참치,720
2023-11-01,[23]동원에프앤비(참치),창원교도소,참치,720
2023-11-01,[23]동원에프앤비(참치),천안개방교도소,참치,16
2023-11-01,[23]동원에프앤비(참치),청주교도소,참치,720
2023-11-01,[23]동원에프앤비(참치),춘천교도소,참치,108
2023-11-01,[23]동원에프앤비(참치),평택지소,참치,240
2023-11-01,[23]동원에프앤비(참치),포항교도소,참치,720
2023-11-01,[23]동원에프앤비(참치),홍성교도소,참치,720
2023-11-01,[23]듬북듬북(멸균우유),거창구치소,멸균우유,72
2023-11-01,[23]듬북듬북(멸균우유),경북북부제3교도소,멸균우유,1012
2023-11-01,[23]듬북듬북(멸균우유),경북직업훈련교도소,멸균우유,72
2023-11-01,[23]듬북듬북(멸균우유),경주교도소,멸균우유,72
2023-11-01,[23]듬북듬북(멸균우유),김천소년교도소,멸균우유,85
2023-11-01,[23]듬북듬북(멸균우유),대구교도소,멸균우유,1330
2023-11-01,[23]듬북듬북(멸균우유),대구구치소,멸균우유,1200
2023-11-01,[23]듬북듬북(멸균우유),대전교도소,멸균우유,840
2023-11-01,[23]듬북듬북(멸균우유),부산구치소,멸균우유,1311
2023-11-01,[23]듬북듬북(멸균우유),서울구치소,멸균우유,1826
2023-11-01,[23]듬북듬북(멸균우유),서울남부교도소,멸균우유,662
