일자,공급업체명,교정기관,품목명,주문수량
2023-10-04,[23]경기상사(간장),거창구치소,간장,2
2023-10-04,[23]경기상사(간장),경북북부제3교도소,간장,5
2023-10-04,[23]경기상사(간장),군산교도소,간장,12
2023-10-04,[23]경기상사(간장),대구교도소,간장,1
2023-10-04,[23]경기상사(간장),부산구치소,간장,17
2023-10-04,[23]경기상사(간장),서울구치소,간장,8
2023-10-04,[23]경기상사(간장),서울남부교도소,간장,2
2023-10-04,[23]경기상사(간장),울산구치소,간장,12
2023-10-04,[23]더지안(두유),강원북부교도소,두유(검은콩),120
2023-10-04,[23]더지안(두유),거창구치소,두유(검은콩),480
2023-10-04,[23]더지안(두유),경북북부제3교도소,두유(검은콩),932
2023-10-04,[23]더지안(두유),경북직업훈련교도소,두유(검은콩),14
2023-10-04,[23]더지안(두유),경주교도소,두유(검은콩),72
2023-10-04,[23]더지안(두유),공주교도소,두유(검은콩),480
2023-10-04,[23]더지안(두유),광주교도소,두유(검은콩),3600
2023-10-04,[23]더지안(두유),군산교도소,두유(검은콩),816
2023-10-04,[23]더지안(두유),김천소년교도소,두유(검은콩),38
2023-10-04,[23]더지안(두유),대구교도소,두유(검은콩),1303
2023-10-04,[23]더지안(두유),대전교도소,두유(검은콩),1200
2023-10-04,[23]더지안(두유),부산교도소,두유(검은콩),389
2023-10-04,[23]더지안(두유),부산구치소,두유(검은콩),1054
2023-10-04,[23]더지안(두유),서산지소,두유(검은콩),1440
2023-10-04,[23]더지안(두유),서울구치소,두유(검은콩),1935
2023-10-04,[23]더지안(두유),서울남부교도소,두유(고칼슘),984
2023-10-04,[23]더지안(두유),서울남부구치소,두유(고칼슘),1799
2023-10-04,[23]더지안(두유),서울동부구치소,두유(검은콩),2611
2023-10-04,[23]더지안(두유),수원구치소,두유(검은콩),1128
2023-10-04,[23]더지안(두유),안동교도소,두유(검은콩),360
2023-10-04,[23]더지안(두유),안양교도소,두유(검은콩),500
2023-10-04,[23]더지안(두유),울산구치소,두유(검은콩),960
2023-10-04,[23]더지안(두유),원주교도소,두유(고칼슘),120
2023-10-04,[23]더지안(두유),의정부교도소,두유(검은콩),303
2023-10-04,[23]더지안(두유),인천구치소,두유(검은콩),1200
2023-10-04,[23]더지안(두유),전주교도소,두유(검은콩),672
2023-10-04,[23]더지안(두유),진주교도소,두유(검은콩),960
2023-10-04,[23]더지안(두유),창원교도소,두유(검은콩),1200
2023-10-04,[23]더지안(두유),천안개방교도소,두유(검은콩),116
2023-10-04,[23]더지안(두유),천안교도소,두유(고칼슘),240
2023-10-04,[23]더지안(두유),평택지소,두유(검은콩),360
2023-10-04,[23]더지안(두유),포항교도소,두유(검은콩),221
2023-10-04,[23]더지안(두유),홍성교도소,두유(검은콩),1200
2023-10-04,[23]동원에프앤비(참치),강릉교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),거창구치소,참치,144
2023-10-04,[23]동원에프앤비(참치),경북북부제3교도소,참치,13
2023-10-04,[23]동원에프앤비(참치),경북직업훈련교도소,참치,102
2023-10-04,[23]동원에프앤비(참치),경주교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),공주교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),군산교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),김천소년교도소,참치,82
2023-10-04,[23]동원에프앤비(참치),대구교도소,참치,330
2023-10-04,[23]동원에프앤비(참치),대구구치소,참치,144
2023-10-04,[23]동원에프앤비(참치),대전교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),부산구치소,참치,392
2023-10-04,[23]동원에프앤비(참치),서산지소,참치,480
2023-10-04,[23]동원에프앤비(참치),서울구치소,참치,742
2023-10-04,[23]동원에프앤비(참치),서울남부교도소,참치,427
2023-10-04,[23]동원에프앤비(참치),서울남부구치소,참치,89
2023-10-04,[23]동원에프앤비(참치),서울동부구치소,참치,144
2023-10-04,[23]동원에프앤비(참치),수원구치소,참치,144
2023-10-04,[23]동원에프앤비(참치),순천교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),안동교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),울산구치소,참치,240
2023-10-04,[23]동원에프앤비(참치),의정부교도소,참치,52
2023-10-04,[23]동원에프앤비(참치),인천구치소,참치,144
2023-10-04,[23]동원에프앤비(참치),전주교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),진주교도소,참치,51
2023-10-04,[23]동원에프앤비(참치),창원교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),천안개방교도소,참치,32
2023-10-04,[23]동원에프앤비(참치),천안교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),춘천교도소,참치,85
2023-10-04,[23]동원에프앤비(참치),통영구치소,참치,144
2023-10-04,[23]동원에프앤비(참치),평택지소,참치,144
2023-10-04,[23]동원에프앤비(참치),포항교도소,참치,480
2023-10-04,[23]동원에프앤비(참치),홍성교도소,참치,144
2023-10-04,[23]동원에프앤비(참치),화성직업훈련교도소,참치,144
2023-10-04,[23]듬북듬북(멸균우유),거창구치소,멸균우유,240
2023-10-04,[23]듬북듬북(멸균우유),경북북부제3교도소,멸균우유,852
2023-10-04,[23]듬북듬북(멸균우유),경북직업훈련교도소,멸균우유,36
2023-10-04,[23]듬북듬북(멸균우유),경주교도소,멸균우유,72
2023-10-04,[23]듬북듬북(멸균우유),공주교도소,멸균우유,480
2023-10-04,[23]듬북듬북(멸균우유),군산교도소,멸균우유,456
2023-10-04,[23]듬북듬북(멸균우유),김천소년교도소,멸균우유,6
2023-10-04,[23]듬북듬북(멸균우유),대구교도소,멸균우유,1085
2023-10-04,[23]듬북듬북(멸균우유),대구구치소,멸균우유,1440
2023-10-04,[23]듬북듬북(멸균우유),대전교도소,멸균우유,1200
2023-10-04,[23]듬북듬북(멸균우유),부산구치소,멸균우유,1083
2023-10-04,[23]듬북듬북(멸균우유),서울구치소,멸균우유,1482
2023-10-04,[23]듬북듬북(멸균우유),서울남부교도소,멸균우유,610
2023-10-04,[23]듬북듬북(멸균우유),서울남부구치소,멸균우유,518
2023-10-04,[23]듬북듬북(멸균우유),서울동부구치소,멸균우유,2265
2023-10-04,[23]듬북듬북(멸균우유),수원구치소,멸균우유,720
2023-10-04,[23]듬북듬북(멸균우유),안양교도소,멸균우유,232
2023-10-04,[23]듬북듬북(멸균우유),울산구치소,멸균우유,720
2023-10-04,[23]듬북듬북(멸균우유),의정부교도소,멸균우유,296
2023-10-04,[23]듬북듬북(멸균우유),인천구치소,멸균우유,600
2023-10-04,[23]듬북듬북(멸균우유),전주교도소,멸균우유,360
2023-10-04,[23]듬북듬북(멸균우유),진주교도소,멸균우유,720
2023-10-04,[23]듬북듬북(멸균우유),천안개방교도소,멸균우유,131
